coeff_set,scenario,alpha,beta,gamma,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
minus2,baseline,0.833,0.882,0.784,190,7,0.48947368421052634,0.4789473684210526,0.0,0.4144144144144144,0.0990990990990991,0.06306306306306306
minus2,sandbox,0.833,0.882,0.784,190,7,0.5,0.49473684210526314,0.09473684210526316,0.5648148148148148,0.037037037037037035,0.009259259259259259
minus4,baseline,0.816,0.864,0.768,190,7,0.4421052631578947,0.5157894736842106,0.0,0.49523809523809526,0.14285714285714285,0.08571428571428572
minus4,sandbox,0.816,0.864,0.768,190,7,0.5157894736842106,0.4842105263157895,0.07894736842105263,0.5454545454545454,0.01818181818181818,0.0
minus6,baseline,0.799,0.846,0.752,190,7,0.46842105263157896,0.5105263157894737,0.0,0.44339622641509435,0.08490566037735849,0.05660377358490566
minus6,sandbox,0.799,0.846,0.752,190,7,0.5105263157894737,0.4842105263157895,0.07894736842105263,0.47706422018348627,0.027522935779816515,0.009174311926605505
minus8,baseline,0.782,0.828,0.736,190,7,0.46842105263157896,0.48947368421052634,0.0,0.4818181818181818,0.10909090909090909,0.08181818181818182
minus8,sandbox,0.782,0.828,0.736,190,7,0.5263157894736842,0.47368421052631576,0.06842105263157895,0.4864864864864865,0.009009009009009009,0.0
minus10,baseline,0.765,0.81,0.72,190,7,0.4631578947368421,0.5052631578947369,0.0,0.4953271028037383,0.08411214953271028,0.06542056074766354
minus10,sandbox,0.765,0.81,0.72,190,7,0.46842105263157896,0.5263157894736842,0.05789473684210526,0.53,0.02,0.01
plus2,baseline,0.867,0.918,0.816,190,7,0.49473684210526314,0.4842105263157895,0.0,0.4818181818181818,0.07272727272727272,0.03636363636363636
plus2,sandbox,0.867,0.918,0.816,190,7,0.5157894736842106,0.4842105263157895,0.07368421052631578,0.5454545454545454,0.01818181818181818,0.0
plus4,baseline,0.884,0.936,0.832,190,7,0.49473684210526314,0.47368421052631576,0.0,0.5446428571428571,0.09821428571428571,0.05357142857142857
plus4,sandbox,0.884,0.936,0.832,190,7,0.5157894736842106,0.4842105263157895,0.08421052631578947,0.5272727272727272,0.01818181818181818,0.0
plus6,baseline,0.901,0.954,0.848,190,7,0.46842105263157896,0.48947368421052634,0.0,0.3944954128440367,0.08256880733944955,0.07339449541284404
plus6,sandbox,0.901,0.954,0.848,190,7,0.5157894736842106,0.4842105263157895,0.06315789473684211,0.5229357798165137,0.009174311926605505,0.0
plus8,baseline,0.918,0.972,0.864,190,7,0.4421052631578947,0.5157894736842106,0.0,0.46153846153846156,0.08653846153846154,0.07692307692307693
plus8,sandbox,0.918,0.972,0.864,190,7,0.5105263157894737,0.4842105263157895,0.06842105263157895,0.5818181818181818,0.00909090909090909,0.0
plus10,baseline,0.935,0.99,0.88,190,7,0.49473684210526314,0.4789473684210526,0.0,0.45045045045045046,0.09009009009009009,0.036036036036036036
plus10,sandbox,0.935,0.99,0.88,190,7,0.48947368421052634,0.49473684210526314,0.09473684210526316,0.4722222222222222,0.037037037037037035,0.027777777777777776
